임마	일상적 욕설	욕설
자슥	일상적 욕설	욕설
잡것	일상적 욕설	욕설
잡넘	일상적 욕설	욕설
잡년	여성 비하	비하적 표현
잡놈	일상적 욕설	욕설
저년	여성 비하	비하적 표현
저새끼	일상적 욕설	욕설
젖밥	성기 언급	선정적 표현
조까	성기 언급	선정적 표현
조까치	성기 언급	선정적 표현
조또	성기 언급	선정적 표현
조빠	성기 언급	선정적 표현
조진다	구타	폭력적 표현
조질래	구타	폭력적 표현
존나	일상적 욕설	욕설
존나게	일상적 욕설	욕설
존니	일상적 욕설	욕설
존만	일상적 욕설	욕설
존만한	성기 언급	선정적 표현
좀물	성기 언급	선정적 표현
좁년	여성 비하	비하적 표현
좁밥	성기 언급	선정적 표현
좃까	성기 언급	선정적 표현
좃또	성기 언급	선정적 표현
좃만	성기 언급	선정적 표현
좃밥	성기 언급	선정적 표현
좃이	성기 언급	선정적 표현
좃찐	성기 언급	선정적 표현
좆같	성기 언급	선정적 표현
좆까	성기 언급	선정적 표현
좆나	성기 언급	선정적 표현
좆또	성기 언급	선정적 표현
좆만	성기 언급	선정적 표현
좆밥	성기 언급	선정적 표현
좆이	성기 언급	선정적 표현
좆찐	성기 언급	선정적 표현
좇같	성기 언급	선정적 표현
좇이	성기 언급	선정적 표현
주글	살인	폭력적 표현
주글래	살인	폭력적 표현
주데이	일상적 욕설	욕설
주뎅	일상적 욕설	욕설
주뎅이	일상적 욕설	욕설
주둥아리	일상적 욕설	욕설
주둥이	일상적 욕설	욕설
주접	일상적 욕설	욕설
주접떨	일상적 욕설	욕설
죽고잡	살인	폭력적 표현
죽을래	살인	폭력적 표현
쥐랄	일상적 욕설	욕설
쥐롤	일상적 욕설	욕설
지랄	일상적 욕설	욕설
지럴	일상적 욕설	욕설
지롤	일상적 욕설	욕설
지미랄	일상적 욕설	욕설
짜식	일상적 욕설	욕설
짜아식	일상적 욕설	욕설
쪼다	일상적 욕설	욕설
쫍빱	성기 언급	선정적 표현
창녀	매춘 언급	선정적 표현
캐년	여성 비하	비하적 표현
캐놈	일상적 욕설	욕설
캐스끼	일상적 욕설	욕설
캐스키	일상적 욕설	욕설
캐시키	일상적 욕설	욕설
퍽큐	일상적 욕설	욕설
호로	일상적 욕설	욕설
호로놈	일상적 욕설	욕설
호로새끼	일상적 욕설	욕설
호로색	일상적 욕설	욕설
호로쉑	일상적 욕설	욕설
호로스까이	일상적 욕설	욕설
호로스키	일상적 욕설	욕설
후라들	일상적 욕설	욕설
후래자식	일상적 욕설	욕설
후레	일상적 욕설	욕설
후뢰 	일상적 욕설	욕설
3일한	여성 비하	비하적 표현
간철수	정치인 비하	비하적 표현
개독교	종교 비하	욕설
개쌍도	지역 비하	비하적 표현
개쌍디언	지역 비하	비하적 표현
게이	동성애 비하	비하적 표현
경상디언	지역 비하	비하적 표현
고무통	정치인 비하	비하적 표현
고무현	정치인 비하	비하적 표현
규재찡	정치인 비하	비하적 표현
근혜찡	정치인 비하	비하적 표현
김치남	일상적 욕설	욕설
김치녀	여성 비하	비하적 표현
까보전	지역 비하	비하적 표현
꼬춘쿠키	젠더 비하	비하적 표현
나랑께	지역 비하	비하적 표현
낙태충	여성 비하	비하적 표현
냄져	젠더 비하	비하적 표현
네다보	여성 비하	비하적 표현
네다통	지역 비하	비하적 표현
네다홍	지역 비하	비하적 표현
노무노무	정치인 비하	비하적 표현
노미넴	정치인 비하	비하적 표현
노부엉	정치인 비하	비하적 표현
노시계	정치인 비하	비하적 표현
노알라	정치인 비하	비하적 표현
노오란	정치인 비하	비하적 표현
노오랗	정치인 비하	비하적 표현
노운지	정치인 비하	비하적 표현
노짱	정치인 비하	비하적 표현
뇌물현	정치인 비하	비하적 표현
다이쥬	정치인 비하	비하적 표현
다카키마사오	정치인 비하	비하적 표현
로린이	여성 비하	비하적 표현
머중	정치인 비하	비하적 표현
멍청도	지역 비하	비하적 표현
메갈	젠더 비하	비하적 표현
명예자지	젠더 비하	비하적 표현
무현RT	정치인 비하	비하적 표현
미러링	젠더 비하	비하적 표현
박원숭	정치인 비하	비하적 표현
보라니	젠더 비하	비하적 표현
보력지원	젠더 비하	비하적 표현
보밍	젠더 비하	비하적 표현
보빨	젠더 비하	비하적 표현
보슬	젠더 비하	비하적 표현
보테크	젠더 비하	비하적 표현
보혐	젠더 비하	비하적 표현
부랄발광	젠더 비하	비하적 표현
붸충	젠더 비하	비하적 표현
빵즈	젠더 비하	비하적 표현
설라디언	지역 비하	비하적 표현
슨상	정치인 비하	비하적 표현
슨상님	정치인 비하	비하적 표현
씹치	젠더 비하	비하적 표현
씹치남	젠더 비하	비하적 표현
암베	여성 비하	비하적 표현
애비충	젠더 비하	비하적 표현
엑윽	장애인 비하	비하적 표현
여혐	여성 비하	비하적 표현
우덜식	지역 비하	비하적 표현
우돌식	지역 비하	비하적 표현
운지	정치인 비하	비하적 표현
자1지	성기 언급	선정적 표현
자들자들	성기 언급	선정적 표현
자릉내	성기 언급	선정적 표현
자취냄	성기 언급	선정적 표현
자혐	성기 언급	선정적 표현
장애인	장애인 비하	비하적 표현
재기찡	젠더 비하	비하적 표현
재기하다	젠더 비하	비하적 표현
전땅크	정치인 비하	비하적 표현
전라디언	지역 비하	비하적 표현
좌고라	정치인 비하	비하적 표현
좌빨	정치인 비하	비하적 표현
좌음	정치인 비하	비하적 표현
좌좀	정치인 비하	비하적 표현
주절먹	여성 비하	비하적 표현
중력절	정치인 비하	비하적 표현
짱깨	외국인 비하	비하적 표현
쪽국	외국인 비하	비하적 표현
챙놈	외국인 비하	비하적 표현
코르셋	젠더 비하	비하적 표현
탈김치	젠더 비하	비하적 표현
탈라도	지역 비하	비하적 표현
통구이	지역 비하	비하적 표현
통궈	지역 비하	비하적 표현
투명애비	젠더 비하	비하적 표현
틀딱	노인 비하	비하적 표현
피떡갈비	구타	폭력적 표현
핑좆남	성기 언급	선정적 표현
한남	젠더 비하	비하적 표현
한남또	젠더 비하	비하적 표현
한남충	젠더 비하	비하적 표현
핵대중	정치인 비하	비하적 표현
핵펭귄	정치인 비하	비하적 표현
허수애비	젠더 비하	비하적 표현
호뽑뽑요	지역 비하	비하적 표현
혼외수	특정인 비하	비하적 표현
홍어	지역 비하	비하적 표현
홍팍	지역 비하	비하적 표현
민주화	일베 용어	욕설
느금마	가족 욕	욕설
니애미	가족 욕	욕설
니엄마	가족 욕	욕설
니애비	가족 욕	욕설
느그애비	가족 욕	욕설
느그애미	가족 욕	욕설
애미터	가족 욕	욕설
애미뒤	가족 욕	욕설
앰뒤	가족 욕	욕설
앰창	가족 욕	욕설
강간	구타	폭력적 표현
개같	일상적 욕설	욕설
개미친	일상적 욕설	욕설
개부랄	성기 언급	선정적 표현
개불알	성기 언급	선정적 표현
개빠구리	성교 언급	선정적 표현
개뼉다구	일상적 욕설	욕설
개색	일상적 욕설	욕설
개쌔끼	일상적 욕설	욕설
개자석	일상적 욕설	욕설
개자식	일상적 욕설	욕설
꼴통	일상적 욕설	욕설
느그엄마	일상적 욕설	욕설
느검마	일상적 욕설	욕설
대갈	일상적 욕설	욕설
대갈빡	일상적 욕설	욕설
대갈통	일상적 욕설	욕설
대굴빡	일상적 욕설	욕설
뒤질	일상적 욕설	욕설
등쉰	일상적 욕설	욕설
딸따뤼	성적 표현	선정적 표현
딸따리	성적 표현	선정적 표현
딸딸	성적 표현	선정적 표현
딸딸이	성적 표현	선정적 표현
똘추	일상적 욕설	욕설
매춘	매춘 언급	선정적 표현
몸파는	매춘 언급	선정적 표현
발정	성적 표현	선정적 표현
배때지	일상적 욕설	욕설
보지	성기 언급	선정적 표현
보짓	성기 언급	선정적 표현
보털	성기 언급	선정적 표현
븅딱	일상적 욕설	욕설
븅삼	일상적 욕설	욕설
븅쉰	일상적 욕설	욕설
빙딱	일상적 욕설	욕설
빙삼	일상적 욕설	욕설
빠구뤼	성교 언급	선정적 표현
빠꾸리	성교 언급	선정적 표현
빠꾸뤼	성교 언급	선정적 표현
빠순이	성교 언급	선정적 표현
뽀르노	성적 표현	선정적 표현
뽀오지	성기 언급	선정적 표현
사까쉬	성적 표현	선정적 표현
사까시	성적 표현	선정적 표현
상노무	일상적 욕설	욕설
상놈	일상적 욕설	욕설
새1끼	일상적 욕설	욕설
새뀌	일상적 욕설	욕설
새뤼	일상적 욕설	욕설
새리	일상적 욕설	욕설
새캬	일상적 욕설	욕설
성감대	성적 표현	선정적 표현
성경험	성적 표현	선정적 표현
성관계	성적 표현	선정적 표현
성교육	성적 표현	선정적 표현
섹하고	성적 표현	선정적 표현
섹하구	성교 언급	선정적 표현
섹하자	성교 언급	선정적 표현
섹하장	성교 언급	선정적 표현
쉬빨	매춘 언급	선정적 표현
쉬뿔	매춘 언급	선정적 표현
쉬파	매춘 언급	선정적 표현
쉬팍	매춘 언급	선정적 표현
쉬팔	매춘 언급	선정적 표현
쉬팡	매춘 언급	선정적 표현
쉬퐁	매춘 언급	선정적 표현
스댕	매춘 언급	선정적 표현
스뎅	매춘 언급	선정적 표현
스발	매춘 언급	선정적 표현
스벌	매춘 언급	선정적 표현
스와핑	성교 언급	선정적 표현
스왑	성교 언급	선정적 표현
스트립	성적 표현	선정적 표현
스팔	매춘 언급	선정적 표현
스펄	매춘 언급	선정적 표현
슴가	성적 표현	선정적 표현
싀발	매춘 언급	선정적 표현
싀밸	매춘 언급	선정적 표현
싀벌	매춘 언급	선정적 표현
싀벨	매춘 언급	선정적 표현
싀봉	매춘 언급	선정적 표현
싀팍	매춘 언급	선정적 표현
